variable_group,cmip6plus_key,cmip6_key,long_name,std_name,units,cmip6_table,name,in_cmip_core
forcing,GIGmon/prra,ImonGre/prra,Rainfall Flux over Land Ice,rainfall_flux,kg m-2 s-1,ImonGre,prra,FALSE
forcing,GIGmon/prsn,ImonGre/prsn,Snowfall Flux,snowfall_flux,kg m-2 s-1,ImonGre,prsn,FALSE
forcing,GIGmon/snicem,ImonGre/snicem,Surface Snow and Ice Melt Flux,surface_snow_and_ice_melt_flux,kg m-2 s-1,ImonGre,snicem,FALSE
forcing,LIday/snw,day/snw,Surface Snow Amount,surface_snow_amount,kg m-2,day,snw,TRUE
forcing,LImon/acabfIs,LImon/acabfIs,Ice Sheet Surface Mass Balance Flux,land_ice_surface_specific_mass_balance_flux,kg m-2 s-1,LImon,acabfIs,FALSE
forcing,LImon/hflsIs,LImon/hflsIs,Ice Sheet Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,W m-2,LImon,hflsIs,FALSE
forcing,LImon/hfssIs,LImon/hfssIs,Ice Sheet Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,W m-2,LImon,hfssIs,FALSE
forcing,LImon/orogIs,LImon/orogIs,Ice Sheet Surface Altitude,surface_altitude,m,LImon,orogIs,FALSE
forcing,LImon/rldsIs,LImon/rldsIs,Ice Sheet Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,W m-2,LImon,rldsIs,FALSE
forcing,LImon/rlusIs,LImon/rlusIs,Ice Sheet Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,W m-2,LImon,rlusIs,FALSE
forcing,LImon/rsdsIs,LImon/rsdsIs,Ice Sheet Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,W m-2,LImon,rsdsIs,FALSE
forcing,LImon/rsusIs,LImon/rsusIs,Ice Sheet Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,W m-2,LImon,rsusIs,FALSE
forcing,LImon/sbl,LImon/sbl,Surface Snow and Ice Sublimation Flux,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,kg m-2 s-1,LImon,sbl,TRUE
forcing,LImon/sbl,Amon/sbl,Surface Snow and Ice Sublimation Flux,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,kg m-2 s-1,Amon,sbl,TRUE
forcing,LImon/sftflf,LImon/sftflf,Floating Ice Shelf Area Percentage,floating_ice_shelf_area_fraction,%,LImon,sftflf,TRUE
forcing,LImon/sftgrf,LImon/sftgrf,Grounded Ice Sheet Area Percentage,grounded_ice_sheet_area_fraction,%,LImon,sftgrf,TRUE
forcing,LImon/snc,LImon/snc,Snow Area Percentage,surface_snow_area_fraction,%,LImon,snc,TRUE
forcing,LImon/snd,LImon/snd,Snow Depth,surface_snow_thickness,m,LImon,snd,TRUE
esm-diagnostic,LImon/snm,LImon/snm,Surface Snow Melt,surface_snow_melt_flux,kg m-2 s-1,LImon,snm,TRUE
forcing,LImon/snw,LImon/snw,Surface Snow Amount,surface_snow_amount,kg m-2,LImon,snw,TRUE
forcing,LImon/tsn,LImon/tsn,Snow Internal Temperature,temperature_in_surface_snow,K,LImon,tsn,TRUE
esm-diagnostic,LPmon/cropFrac,Lmon/cropFrac,Percentage Crop Cover,area_fraction,%,Lmon,cropFrac,TRUE
esm-diagnostic,LPmon/grassFrac,Lmon/grassFrac,Natural Grass Area Percentage,area_fraction,%,Lmon,grassFrac,TRUE
esm-diagnostic,LPmon/mrfso,Lmon/mrfso,Soil Frozen Water Content,soil_frozen_water_content,kg m-2,Lmon,mrfso,TRUE
esm-diagnostic,LPmon/mrsos,Lmon/mrsos,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,kg m-2,Lmon,mrsos,TRUE
esm-diagnostic,LPmon/pastureFrac,Lmon/pastureFrac,Percentage of Land Which Is Anthropogenic Pasture,area_fraction,%,Lmon,pastureFrac,TRUE
esm-diagnostic,LPmon/residualFrac,Lmon/residualFrac,Percentage of Grid Cell That Is Land but neither Vegetation Covered nor Bare Soil,area_fraction,%,Lmon,residualFrac,TRUE
